[2023-10-20 18-21-01] TRAIN | Epoch 85 | Loss : 8.3100 | MAE : 84.5030 | LR : 0.005459
[2023-10-20 18-21-08] VALID | Epoch 85 | Loss : 8.2186 | MAE : 104.2939 | LR : 0.005459
[2023-10-20 18-21-43] TRAIN | Epoch 86 | Loss : 8.3100 | MAE : 84.3626 | LR : 0.004768
[2023-10-20 18-21-49] VALID | Epoch 86 | Loss : 8.2186 | MAE : 217.0091 | LR : 0.004768
[2023-10-20 18-22-25] TRAIN | Epoch 87 | Loss : 8.3100 | MAE : 84.6568 | LR : 0.004122
[2023-10-20 18-22-32] VALID | Epoch 87 | Loss : 8.2186 | MAE : 139.5273 | LR : 0.004122
[2023-10-20 18-23-07] TRAIN | Epoch 88 | Loss : 8.3100 | MAE : 83.8658 | LR : 0.003521
[2023-10-20 18-23-14] VALID | Epoch 88 | Loss : 8.2186 | MAE : 263.6336 | LR : 0.003521
[2023-10-20 18-23-49] TRAIN | Epoch 89 | Loss : 8.3100 | MAE : 83.8323 | LR : 0.002966
[2023-10-20 18-23-55] VALID | Epoch 89 | Loss : 8.2186 | MAE : 77.2039 | LR : 0.002966
[2023-10-20 18-24-30] TRAIN | Epoch 90 | Loss : 8.3100 | MAE : 84.2901 | LR : 0.002457
[2023-10-20 18-24-37] VALID | Epoch 90 | Loss : 8.2186 | MAE : 108.6786 | LR : 0.002457
[2023-10-20 18-25-12] TRAIN | Epoch 91 | Loss : 8.3100 | MAE : 84.0192 | LR : 0.001995
[2023-10-20 18-25-19] VALID | Epoch 91 | Loss : 8.2186 | MAE : 65.4749 | LR : 0.001995
[2023-10-20 18-25-53] TRAIN | Epoch 92 | Loss : 8.3100 | MAE : 84.8703 | LR : 0.001581
[2023-10-20 18-26-00] VALID | Epoch 92 | Loss : 8.2186 | MAE : 73.3538 | LR : 0.001581
[2023-10-20 18-26-34] TRAIN | Epoch 93 | Loss : 8.3100 | MAE : 84.2428 | LR : 0.001214
[2023-10-20 18-26-40] VALID | Epoch 93 | Loss : 8.2186 | MAE : 76.0186 | LR : 0.001214
[2023-10-20 18-27-15] TRAIN | Epoch 94 | Loss : 8.3100 | MAE : 82.9568 | LR : 0.000896
[2023-10-20 18-27-22] VALID | Epoch 94 | Loss : 8.2186 | MAE : 102.7912 | LR : 0.000896
[2023-10-20 18-27-57] TRAIN | Epoch 95 | Loss : 8.3100 | MAE : 83.2086 | LR : 0.000626
[2023-10-20 18-28-04] VALID | Epoch 95 | Loss : 8.2186 | MAE : 76.2204 | LR : 0.000626
[2023-10-20 18-28-39] TRAIN | Epoch 96 | Loss : 8.3100 | MAE : 82.9355 | LR : 0.000404
[2023-10-20 18-28-46] VALID | Epoch 96 | Loss : 8.2186 | MAE : 86.2330 | LR : 0.000404
[2023-10-20 18-29-21] TRAIN | Epoch 97 | Loss : 8.3100 | MAE : 83.5243 | LR : 0.000232
[2023-10-20 18-29-28] VALID | Epoch 97 | Loss : 8.2186 | MAE : 79.4842 | LR : 0.000232
[2023-10-20 18-30-03] TRAIN | Epoch 98 | Loss : 8.3100 | MAE : 83.4481 | LR : 0.000109
[2023-10-20 18-30-10] VALID | Epoch 98 | Loss : 8.2186 | MAE : 76.5045 | LR : 0.000109
[2023-10-20 18-30-45] TRAIN | Epoch 99 | Loss : 8.3100 | MAE : 83.4924 | LR : 0.000035
[2023-10-20 18-30-52] VALID | Epoch 99 | Loss : 8.2186 | MAE : 80.9039 | LR : 0.000035
